Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region, Total , Male , Female 
Afghanistan,SA,,LDC,,, 43 , 55 , 30 
Albania,ECA,EECA,,,, 98 , 99 , 98 
Algeria,MENA,,,Northern Africa,All, 81 , 87 , 75 
Andorra,ECA,WE,,,,,,
Angola,SSA,ESA,LDC,Southern Africa,All,,,
Anguilla,LAC,,,,,,,
Antigua and Barbuda,LAC,,,,,,,
Argentina,LAC,,,,, 99 , 99 , 99 
Armenia,ECA,EECA,,,,,,
Australia,EAP,,,,,,,
Austria,ECA,WE,,,,,,
Azerbaijan,ECA,EECA,,,,,,
Bahamas,LAC,,,,,,,
Bahrain,MENA,,,,, 97 , 99 , 95 
Bangladesh,SA,,LDC,,, 74 , 77 , 71 
Barbados,LAC,,,,,,,
Belarus,ECA,EECA,,,, 100 , 100 , 100 
Belgium,ECA,WE,,,,,,
Belize,LAC,,,,,,,
Benin,SSA,WCA,LDC,Western Africa,All, 42 , 54 , 31 
Bhutan,SA,,LDC,,,,,
Bolivia (Plurinational State of),LAC,,,,,,,
Bosnia and Herzegovina,ECA,EECA,,,,,,
Botswana,SSA,ESA,,Southern Africa,All,,,
Brazil,LAC,,,,, 93 , 93 , 93 
British Virgin Islands,LAC,,,,,,,
Brunei Darussalam,EAP,,,,, 97 , 98 , 96 
Bulgaria,ECA,EECA,,,,,,
Burkina Faso,SSA,WCA,LDC,Western Africa,All, 41 , 50 , 33 
Burundi,SSA,ESA,LDC,Central Africa,All,,,
Cabo Verde,SSA,WCA,,Western Africa,All,,,
Cambodia,EAP,,LDC,,,,,
Cameroon,SSA,WCA,,Central Africa,All, 77 , 83 , 72 
Canada,NA,,,,,,,
Central African Republic,SSA,WCA,LDC,Central Africa,All, 37 , 50 , 26 
Chad,SSA,WCA,LDC,Central Africa,All,,,
Chile,LAC,,,,,,,
China,EAP,,,,, 97 , 98 , 95 
Colombia,LAC,,,,, 95 , 95 , 95 
Comoros,SSA,ESA,LDC,Eastern Africa,All, 59 , 65 , 53 
Congo,,,,Central Africa,All, 80 , 86 , 75 
Cook Islands,EAP,,,,,,,
Costa Rica,LAC,,,,, 98 , 98 , 98 
Côte d'Ivoire,SSA,WCA,,Western Africa,All, 47 , 54 , 40 
Croatia,ECA,EECA,,,,,,
Cuba,LAC,,,,,,,
Cyprus,ECA,WE,,,,,,
Czechia,ECA,WE,,,,,,
Democratic People's Republic of Korea,EAP,,,,,,,
Democratic Republic of the Congo,SSA,WCA,LDC,Central Africa,All,,,
Denmark,ECA,WE,,,,,,
Djibouti,SSA,ESA,LDC,Eastern Africa,All,,,
Dominica,LAC,,,,,,,
Dominican Republic,LAC,,,,,,,
Ecuador,LAC,,,,,,,
Egypt,MENA,,,Northern Africa,All,,,
El Salvador,LAC,,,,,,,
Equatorial Guinea,SSA,WCA,,Central Africa,All,,,
Eritrea,SSA,ESA,LDC,Eastern Africa,All, 77 , 84 , 69 
Estonia,ECA,WE,,,,,,
Ethiopia,SSA,ESA,LDC,Eastern Africa,All,,,
Fiji,EAP,,,,,,,
Finland,ECA,WE,,,,,,
France,ECA,WE,,,,,,
Gabon,SSA,WCA,,Central Africa,All, 85 , 86 , 83 
Gambia,SSA,WCA,LDC,Western Africa,All,,,
Georgia,ECA,EECA,,,,,,
Germany,ECA,WE,,,,,,
Ghana,SSA,WCA,,Western Africa,All, 79 , 84 , 74 
Greece,ECA,WE,,,,,,
Grenada,LAC,,,,,,,
Guatemala,LAC,,,,,,,
Guinea,,,,Western Africa,All,,,
Guinea-Bissau,SSA,WCA,LDC,Western Africa,All,,,
Guyana,LAC,,,,,,,
Haiti,,,,,,,,
Holy See,ECA,WE,,,,,,
Honduras,LAC,,,,, 87 , 87 , 87 
Hungary,ECA,WE,,,,,,
Iceland,ECA,WE,,,,,,
India,SA,,,,, 74 , 82 , 66 
Indonesia,,,,,, 96 , 97 , 94 
Iran (Islamic Republic of),MENA,,,,,,,
Iraq,,,,,, 50 , 56 , 44 
Ireland,ECA,WE,,,,,,
Israel,MENA,,,,,,,
Italy,ECA,WE,,,, 99 , 99 , 99 
Jamaica,LAC,,,,,,,
Japan,EAP,,,,,,,
Jordan,,,,,, 98 , 99 , 98 
Kazakhstan,ECA,EECA,,,,,,
Kenya,SSA,ESA,,Eastern Africa,All, 82 , 85 , 78 
Kiribati,EAP,,LDC,,,,,
Kuwait,MENA,,,,, 96 , 97 , 95 
Kyrgyzstan,ECA,EECA,,,, 100 , 100 , 99 
Lao People's Democratic Republic,,,,,,,,
Latvia,ECA,WE,,,,,,
Lebanon,MENA,,,,, 95 , 97 , 93 
Lesotho,SSA,ESA,LDC,Southern Africa,All,,,
Liberia,SSA,WCA,LDC,Western Africa,All,,,
Libya,MENA,,,Northern Africa,All,,,
Liechtenstein,ECA,WE,,,,,,
Lithuania,ECA,WE,,,,,,
Luxembourg,ECA,WE,,,,,,
Madagascar,SSA,ESA,LDC,Eastern Africa,All, 75 , 77 , 72 
Malawi,SSA,ESA,LDC,Southern Africa,All,,,
Malaysia,EAP,,,,,,,
Maldives,SA,,,,,,,
Mali,SSA,WCA,LDC,Western Africa,All, 35 , 46 , 26 
Malta,ECA,WE,,,, 95 , 93 , 96 
Marshall Islands,EAP,,,,,,,
Mauritania,,,,Northern Africa,All,,,
Mauritius,SSA,ESA,,Eastern Africa,All, 91 , 93 , 89 
Mexico,LAC,,,,, 95 , 96 , 95 
Micronesia (Federated States of),EAP,,,,,,,
Monaco,ECA,WE,,,,,,
Mongolia,EAP,,,,, 98 , 98 , 99 
Montenegro,ECA,EECA,,,, 99 , 99 , 98 
Montserrat,LAC,,,,,,,
Morocco,MENA,,,Northern Africa,All, 74 , 83 , 65 
Mozambique,SSA,ESA,LDC,Southern Africa,All,,,
Myanmar,EAP,,LDC,,,,,
Namibia,SSA,ESA,,Southern Africa,All, 92 , 92 , 91 
Nauru,EAP,,,,,,,
Nepal,SA,,LDC,,, 68 , 79 , 60 
Netherlands,ECA,WE,,,,,,
New Zealand,EAP,,,,,,,
Nicaragua,LAC,,,,,,,
Niger,SSA,WCA,LDC,Western Africa,All,,,
Nigeria,SSA,WCA,,Western Africa,All, 62 , 71 , 53 
Niue,EAP,,,,,,,
Norway,ECA,WE,,,,,,
Oman,MENA,,,,, 96 , 97 , 93 
Pakistan,,,,,,,,
Palau,EAP,,,,,,,
Panama,LAC,,,,, 95 , 96 , 95 
Papua New Guinea,EAP,,,,,,,
Paraguay,LAC,,,,, 94 , 95 , 94 
Peru,LAC,,,,, 94 , 97 , 92 
Philippines,,,,,,,,
Poland,ECA,WE,,,,,,
Portugal,ECA,WE,,,, 96 , 97 , 95 
Qatar,MENA,,,,,,,
Republic of Korea,EAP,,,,,,,
Republic of Moldova,ECA,EECA,,,,,,
Romania,ECA,EECA,,,, 99 , 99 , 99 
Russian Federation,ECA,EECA,,,, 100 , 100 , 100 
Rwanda,SSA,ESA,LDC,Eastern Africa,All, 73 , 78 , 69 
Saint Kitts and Nevis,LAC,,,,,,,
Saint Lucia,LAC,,,,,,,
Saint Vincent and the Grenadines,LAC,,,,,,,
Samoa,EAP,,,,, 99 , 99 , 99 
San Marino,ECA,WE,,,, 100 , 100 , 100 
Sao Tome and Principe,SSA,WCA,LDC,Central Africa,All, 93 , 96 , 90 
Saudi Arabia,MENA,,,,,,,
Senegal,,,,Western Africa,All,,,
Serbia,ECA,EECA,,,, 98 , 99 , 98 
Seychelles,SSA,ESA,,Eastern Africa,All, 96 , 95 , 96 
Sierra Leone,,,,Western Africa,All, 43 , 52 , 35 
Singapore,EAP,,,,, 97 , 99 , 96 
Slovakia,ECA,WE,,,,,,
Slovenia,ECA,WE,,,,,,
Solomon Islands,EAP,,LDC,,,,,
Somalia,SSA,ESA,LDC,Eastern Africa,All,,,
South Africa,,,,Southern Africa,All,,,
South Sudan,SSA,ESA,LDC,Eastern Africa,All, 35 , 40 , 29 
Spain,ECA,WE,,,, 98 , 99 , 98 
Sri Lanka,SA,,,,,,,
State of Palestine,MENA,,,,,,,
Sudan,SSA,ESA,LDC,Eastern Africa,All, 61 , 65 , 56 
Suriname,LAC,,,,, 94 , 96 , 93 
Eswatini,SSA,ESA,,Southern Africa,All, 88 , 88 , 89 
Sweden,ECA,WE,,,,,,
Switzerland,ECA,WE,,,,,,
Syrian Arab Republic,MENA,,,,,,,
Tajikistan,,,,,,,,
Thailand,,,,,,,,
North Macedonia,ECA,EECA,,,,,,
Timor-Leste,,,,,, 68 , 72 , 64 
Togo,SSA,WCA,LDC,Western Africa,All,,,
Tokelau,EAP,,,,,,,
Tonga,EAP,,,,, 99 , 99 , 99 
Trinidad and Tobago,LAC,,,,,,,
Tunisia,,,,Northern Africa,All,,,
Turkey,ECA,EECA,,,,,,
Turkmenistan,ECA,EECA,,,,,,
Turks and Caicos Islands,LAC,,,,,,,
Tuvalu,EAP,,LDC,,,,,
Uganda,SSA,ESA,LDC,Eastern Africa,All, 77 , 83 , 71 
Ukraine,ECA,EECA,,,,,,
United Arab Emirates,MENA,,,,,,,
United Kingdom,ECA,WE,,,,,,
United Republic of Tanzania,SSA,ESA,LDC,Eastern Africa,All,,,
United States,NA,,,,,,,
Uruguay,LAC,,,,, 99 , 98 , 99 
Uzbekistan,ECA,EECA,,,,,,
